,work_mode,employment_mode,role,prog_skills_in_role,code_for_job,IT_exp,prof_prog_exp,first_code,assigned_seniority,self_assessed_seniority,formal_edu,majors,formal_edu_importance,gender,age,monthly_salary,pro_languages,web_frameworks,other_tools,databases,platforms,fav_language,least_fav_language,fav_framework,least_fav_framework,tools,use_AI_tools,AI_replace_dev,layoffs_23_24,working_now,unemployed_duration,same_role,current_vs_prev_salary
97,remote,freelance,"frontend_dev, mobile_dev, qa_testing",sys_admin,Yes,3_5 years,1_2 years,<10 years,Mid-senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",other ingenerías,very_important,male,20_24 years,3.5M_5M,"JavaScript, TypeScript",React.js,"Node.js, React Native","MySQL, MongoDB",MacOS,JavaScript,PHP,React.js,CakePHP,"Notion, Slack, Confluence, GitHub, Discord, GitLab, Trello, Jira",ChatGPT,no,no,,,,
98,remote,foreign_employer,"backend_dev, full_stack_dev, desktop_apps, qa_testing, dev_ops","devops_dataops, educator",Yes,26+ years,13_17 years,12_13 years,Senior,Senior,master,"programming, computer_engineering",somewhat_important,male,40_44 years,50M+,"JavaScript, Python, C","Django, Flask",,"MySQL, PostgreSQL, SQLite, MongoDB, Redis","GNU/Linux, Docker",Python,Java,Django,,"GitHub, GitLab, Google Suite (Docs, Meet, etc)",,no,no,,,,
99,onsite,Empleador local (Paraguay),"full_stack_dev, db_admin, dev_ops","sys_admin, devops_dataops",Yes,10_12 years,6_9 years,12_13 years,Principal,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",somewhat_important,male,35_39 years,5M_7M,"JavaScript, PHP, HTML/CSS, SQL","JQuery, Laravel",Cordova,"MySQL, MariaDB, PostgreSQL, MongoDB, Oracle","GNU/Linux, Microsoft Windows, AWS",PHP,Java,Laravel,ASP.NET,"Google Suite (Docs, Meet, etc), GitHub, Microsoft Team, Notion, GitLab, Jira","Github Copilot, ChatGPT",no,no,,,,
100,Hibrído,Empleador local (Paraguay),backend_dev,devops_dataops,Yes,10_12 years,1_2 years,14_15 years,Mid-senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,very_important,male,30_34 years,9M_12M,"JavaScript, Java",Spring,Ansible,PostgreSQL,"GNU/Linux, Microsoft Windows, Microsoft Azure",Java,Genexus,Spring,ASP.NET Core,"GitLab, Confluence, Microsoft Azure, Jira, GitHub, Microsoft Team",,no,no,,,,
101,onsite,Empleador local (Paraguay),"frontend_dev, full_stack_dev, qa_testing, db_admin, ux_ui",designer,Yes,10_12 years,10_12 years,22_23 years,No aplica a mi lugar de trabajo,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",quite_important,male,35_39 years,5M_7M,"JavaScript, TypeScript, PHP, Java, HTML/CSS, SQL","React.js, JQuery, Vue.js, Spring, Laravel, CodeIgniter",Node.js,"MySQL, MariaDB, PostgreSQL","GNU/Linux, Microsoft Windows",PHP,Java,Vue.js,Angular,"GitLab, GitHub, Trello",Codeium,no,no,,,,
102,onsite,Empleador local (Paraguay),backend_dev,sys_admin,Yes,6_9 years,3_5 years,<10 years,Mid-senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis, computer_engineering",quite_important,male,25_29 years,5M_7M,"JavaScript, TypeScript, Java, Go, HTML/CSS, SQL, Bash/Shell/PowerShell","React.js, Express",Node.js,"MySQL, MariaDB, PostgreSQL, MongoDB","GNU/Linux, Microsoft Windows, MacOS, Docker, Android",TypeScript,PHP,Express,React.js,"Notion, GitHub, Microsoft Team",ChatGPT,no,no,,,,
103,remote,Empleador local (Paraguay),"backend_dev, desktop_apps",sys_admin,Yes,26+ years,26+ years,30+ years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,very_important,male,45_49 years,5M_7M,"PHP, SQL, ",,,"PostgreSQL, Microsoft SQL Server, Firebase",Microsoft Windows,SQL,,Laravel,,"Discord, Trello, Slack, GitHub",,no,no,,,,
104,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev, full_stack_dev, mobile_dev",,Yes,18_25 years,13_17 years,22_23 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, computer_engineering",quite_important,male,35_39 years,7M_9M,"JavaScript, PHP, HTML/CSS, SQL, Bash/Shell/PowerShell, Dart","JQuery, Laravel","Node.js, Flutter","MySQL, MariaDB, PostgreSQL, Microsoft SQL Server, SQLite, Oracle","GNU/Linux, Microsoft Windows, AWS",Dart,Java,Laravel,ASP.NET,"Trello, GitHub, Google Suite (Docs, Meet, etc)","Github Copilot, Bing AI","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
105,onsite,Empleador local (Paraguay),"frontend_dev, full_stack_dev",,Yes,1_2 years,<1 year,18_19 years,Mid-senior,Desconozco,"Título de Grado (licenciatura, ingeniería, etc.)","programming, other ingenerías",quite_important,male,25_29 years,5M_7M,"JavaScript, TypeScript, Python, HTML/CSS, SQL, Dart","React.js, Django",React Native,"PostgreSQL, Firebase","GNU/Linux, Microsoft Windows",TypeScript,Dart,React.js,ASP.NET Core,"GitLab, Google Suite (Docs, Meet, etc), GitHub, Jira","Google Bard, ChatGPT",no,no,,,,
106,onsite,Empleador local (Paraguay),"qa_testing, db_admin","sys_admin, scientific_researcher",Yes,1_2 years,1_2 years,14_15 years,No aplica a mi lugar de trabajo,Trainee,high_school,computer_engineering,very_important,female,25_29 years,2.55M_3.5M,,,,"MariaDB, PostgreSQL, Microsoft SQL Server","Microsoft Windows, Docker, Kubernetes",,PHP,,,"Google Suite (Docs, Meet, etc)","ChatGPT, Claude.ai",no,no,,,,
107,Hibrído,Empleador local (Paraguay),"desktop_apps, proj_lead, sys_analyst",,Yes,13_17 years,10_12 years,16_17 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",somewhat_important,male,40_44 years,15M_18M,"PHP, Java, SQL","Spring, Symfony",,PostgreSQL,"GNU/Linux, Microsoft Windows",,Java,,,"Google Suite (Docs, Meet, etc), GitLab",,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
108,onsite,Empleador local (Paraguay),"backend_dev, db_admin, dev_ops","sys_admin, devops_dataops",Yes,3_5 years,1_2 years,10_11 years,Junior,Junior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,very_important,male,20_24 years,2.55M_3.5M,"Python, C++, SQL, VBA, Genexus, Fox Pro","ASP.NET, ASP.NET Core, Flask",".NET, NET Core, TensorFlow","MySQL, Microsoft SQL Server",Microsoft Windows,Python,JavaScript,Flask,React.js,"Trello, Microsoft Team, Jira","ChatGPT, Bing AI","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
109,onsite,Empleador local (Paraguay),backend_dev,,Yes,1_2 years,<1 year,<10 years,Junior,Junior,high_school,other,somewhat_important,male,20_24 years,2.55M_3.5M,"JavaScript, Python, SQL, Bash/Shell/PowerShell",,,PostgreSQL,"GNU/Linux, Microsoft Windows",JavaScript,PHP,Express,Django,"Jira, GitHub",ChatGPT,no,no,,,,
110,remote,Empleador local (Paraguay),mobile_dev,,Yes,3_5 years,3_5 years,20_21 years,No aplica a mi lugar de trabajo,Mid-senior,high_school,computer_engineering,somewhat_important,male,30_34 years,5M_7M,JavaScript,React.js,React Native,,AWS,TypeScript,,React.js,,"Slack, Jira, Confluence, GitHub",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
111,remote,foreign_employer,full_stack_dev,,Yes,6_9 years,6_9 years,12_13 years,Senior,Staff,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,not_important,male,30_34 years,50M+,"JavaScript, TypeScript, HTML/CSS",React.js,Node.js,"PostgreSQL, Redis, Elasticsearch","MacOS, Docker, AWS, iOS",JavaScript,Java,React.js,Angular,"Slack, Trello, GitHub, Confluence","Github Copilot, ChatGPT",no,no,,,,
112,onsite,Empleador local (Paraguay),full_stack_dev,"sys_admin, devops_dataops",Yes,3_5 years,1_2 years,14_15 years,Senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,quite_important,male,25_29 years,5M_7M,"JavaScript, SQL, PL/SQL",,,Oracle,"GNU/Linux, Microsoft Windows",Java,PHP,Spring,React.js,"Slack, Jira, Microsoft Team, GitHub",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
113,remote,foreign_employer,"data_sci, ml_eng",scientific_researcher,Yes,6_9 years,6_9 years,14_15 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, computer_engineering",quite_important,male,30_34 years,33M_40M,"Python, SQL",,"Pandas, Torch/PyTorch","PostgreSQL, SQLite, Redis","GNU/Linux, MacOS, Docker",Python,PHP,,,"Jira, Google Suite (Docs, Meet, etc), Microsoft Team, Slack, GitHub",Github Copilot,"Puede ser, pero dentro de muchos años (más de 10)",yes,yes,<3_months,yes,almost_equal
114,Hibrído,Empleador local (Paraguay),full_stack_dev,sys_admin,Yes,10_12 years,6_9 years,18_19 years,No aplica a mi lugar de trabajo,Mid-senior,high_school,systems_analysis,somewhat_important,male,40_44 years,5M_7M,"JavaScript, Python, Java, HTML/CSS, SQL, Fox Pro","Spring, Django",,"MySQL, PostgreSQL","GNU/Linux, Microsoft Windows, AWS",Java,Python,Ruby on Rails,Spring,"GitLab, GitHub",ChatGPT,no,no,,,,
115,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev",devops_dataops,Yes,1_2 years,1_2 years,16_17 years,Junior,Junior,high_school,"systems_analysis, civil_engineering",very_important,male,20_24 years,2.55M_3.5M,"JavaScript, PHP, HTML/CSS, SQL, Dart","JQuery, Laravel","Node.js, Flutter",PostgreSQL,"GNU/Linux, Microsoft Windows, AWS",JavaScript,Java,Laravel,,"Slack, GitHub","ChatGPT, Github Copilot, TabNine",no,no,,,,
116,remote,foreign_employer,data_eng,,Yes,13_17 years,13_17 years,16_17 years,Senior,Senior,master,systems_analysis,somewhat_important,male,30_34 years,50M+,"Python, SQL, Bash/Shell/PowerShell",,,DynamoDB,"MacOS, Docker, AWS, Google Cloud Platform",SQL,Java,,,"GitHub, Trello, Google Suite (Docs, Meet, etc), Jira, Notion, Slack",ChatGPT,no,no,,,,
117,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev, full_stack_dev, mobile_dev, db_admin",sys_admin,Yes,3_5 years,3_5 years,14_15 years,No aplica a mi lugar de trabajo,Desconozco,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",very_important,male,30_34 years,2.55M_3.5M,"JavaScript, Python, Kotlin, HTML/CSS, SQL","Vue.js, Django","Node.js, Keras","PostgreSQL, SQLite, MongoDB","GNU/Linux, Android",Python,Java,Django,JQuery,"Google Suite (Docs, Meet, etc), GitHub",Google Bard,yes,no,,,,
118,remote,foreign_employer,mobile_dev,,Yes,13_17 years,13_17 years,16_17 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,very_important,male,35_39 years,33M_40M,"Java, Kotlin, Swift, Dart",,"Node.js, Flutter","MySQL, Firebase","MacOS, Docker, AWS, Android, iOS",Dart,Kotlin,,,"Jira, GitHub, Google Suite (Docs, Meet, etc), Confluence, GitLab, Slack, Discord","Github Copilot, IntelliJ Assistant ",no,no,,,,
119,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev, embedded_sys_dev, desktop_apps, proj_lead","sys_admin, educator",Yes,13_17 years,13_17 years,14_15 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",very_important,male,35_39 years,12M_15M,"SQL, Oracle Forms",,,Oracle,"GNU/Linux, Microsoft Windows",SQL,Python,ASP.NET Core,,"Jira, Microsoft Team, Slack, GitHub, Confluence",,no,no,,,,
120,Hibrído,Empleador local (Paraguay),"backend_dev, frontend_dev, full_stack_dev, embedded_sys_dev, db_admin, proj_lead, data_analyst, data_eng, ux_ui",sys_admin,Yes,13_17 years,6_9 years,12_13 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis, computer_engineering",quite_important,male,25_29 years,12M_15M,"JavaScript, C#, HTML/CSS, SQL, Bash/Shell/PowerShell, Dart","JQuery, ASP.NET, ASP.NET Core, Vue.js","Node.js, .NET, NET Core, Flutter","MySQL, PostgreSQL, Microsoft SQL Server, SQLite, Firebase, Cassandra","GNU/Linux, Microsoft Windows, Docker, Google Cloud Platform",JavaScript,,ASP.NET Core,,"Microsoft Azure, Confluence, Microsoft Team, Jira","Bing AI, ChatGPT",no,no,,,,
121,Hibrído,Empleador local (Paraguay),"data_analyst, data_eng",,Yes,<1 year,<1 year,14_15 years,Junior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,somewhat_important,male,20_24 years,3.5M_5M,SQL,,,"MySQL, PostgreSQL, Microsoft SQL Server","GNU/Linux, Microsoft Windows",Python,Java,Django,Ruby on Rails,"Slack, Jira, Google Suite (Docs, Meet, etc)","ChatGPT, Bing AI, Google Bard",no,no,,,,
122,onsite,Empleador local (Paraguay),full_stack_dev,sys_admin,Yes,1_2 years,<1 year,<10 years,Junior,Junior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,quite_important,male,20_24 years,2.55M_3.5M,"SQL, Delphi",,,Firebase,Microsoft Windows,Python,Genexus,,,,,no,no,,,,
123,remote,foreign_employer,full_stack_dev,devops_dataops,Yes,13_17 years,13_17 years,16_17 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,somewhat_important,male,35_39 years,33M_40M,"JavaScript, TypeScript, Ruby","React.js, Ruby on Rails",,PostgreSQL,GNU/Linux,Java,HTML/CSS,Spring,,"Google Suite (Docs, Meet, etc), Slack, Jira, GitHub","ChatGPT, Google Bard","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
124,onsite,Empleador local (Paraguay),data_sci,"sys_admin, devops_dataops, scientific_researcher",Yes,3_5 years,3_5 years,14_15 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,very_important,male,30_34 years,9M_12M,"TypeScript, Python, SQL","Angular, Django","Pandas, TensorFlow, Torch/PyTorch","PostgreSQL, IBM DB2","GNU/Linux, Microsoft Windows, Docker",Python,Genexus,Django,JQuery,"GitHub, Jira, GitLab",ChatGPT,no,no,,,,
125,Hibrído,Empleador local (Paraguay),full_stack_dev,"sys_admin, educator",Yes,18_25 years,13_17 years,26_27 years,Senior,Senior,master,"programming, systems_analysis",very_important,male,45_49 years,18M_21M,"JavaScript, TypeScript, PHP, Python",,Node.js,PostgreSQL,"GNU/Linux, Microsoft Windows, MacOS",PHP,Java,React.js,Laravel,"Google Suite (Docs, Meet, etc)",ChatGPT,no,no,,,,
126,remote,foreign_employer,full_stack_dev,,Yes,13_17 years,6_9 years,12_13 years,Senior,Senior,high_school,"programming, systems_analysis, computer_engineering",somewhat_important,male,25_29 years,18M_21M,"JavaScript, PHP, Python, HTML/CSS, SQL",,".NET, React Native","MySQL, PostgreSQL","GNU/Linux, Microsoft Windows, MacOS, Docker, AWS, Android, WordPress, iOS",PHP,Java,React.js,Angular.js,Microsoft Team,"ChatGPT, Bing AI",no,no,,,,
127,onsite,Empleador local (Paraguay),"full_stack_dev, mobile_dev, db_admin","sys_admin, devops_dataops",Yes,18_25 years,13_17 years,10_11 years,Senior,Principal,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis, computer_engineering",quite_important,male,40_44 years,24M_27M,"JavaScript, Java, HTML/CSS, SQL, Bash/Shell/PowerShell, Swift","React.js, JQuery",,"MySQL, MariaDB, PostgreSQL, SQLite, Oracle","GNU/Linux, Microsoft Windows",Java,Fox Pro,JQuery,JQuery,"GitHub, Jira, Google Suite (Docs, Meet, etc), Trello, Microsoft Team",ChatGPT,yes,no,,,,
128,onsite,Empleador local (Paraguay),"backend_dev, desktop_apps",educator,Yes,10_12 years,6_9 years,10_11 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,not_important,male,30_34 years,7M_9M,"Python, Java, Bash/Shell/PowerShell, Genexus ",,,"PostgreSQL, Microsoft SQL Server, SQLite, IBM DB2","GNU/Linux, Microsoft Windows, Docker",Python,HTML/CSS,,,"GitHub, Trello, Microsoft Team, Notion","ChatGPT, AWS CodeWhisperer, Github Copilot, Notion AI, Bing AI, Google Bard",no,no,,,,
129,onsite,foreign_employer,proj_lead,sys_admin,Yes,10_12 years,6_9 years,10_11 years,Principal,Principal,master,computer_engineering,critical,male,30_34 years,40M_50M,"JavaScript, PHP, Java, SQL",Spring,Flutter,"MariaDB, PostgreSQL, Microsoft SQL Server, SQLite, MongoDB","GNU/Linux, Microsoft Windows, Docker, Azure, Android, iOS, Kubernetes",Java,COBOL,Laravel,React.js,"Jira, Microsoft Azure, GitHub, Trello, Discord, Microsoft Team, Google Suite (Docs, Meet, etc), Confluence",Microsoft Copilot,yes,no,,,,
130,Hibrído,Empleador local (Paraguay),"frontend_dev, mobile_dev",,Yes,6_9 years,6_9 years,<10 years,Staff,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis, computer_engineering",quite_important,male,25_29 years,7M_9M,"JavaScript, TypeScript, Java, HTML/CSS","React.js, Angular, Angular.js, Vue.js, Spring","Node.js, React Native",,"GNU/Linux, Microsoft Windows, Docker, AWS, Android, iOS",TypeScript,Java,Angular,Spring,"Confluence, GitLab, Jira, Slack, GitHub",,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
131,remote,Empleador local (Paraguay),"backend_dev, qa_testing, data_analyst","sys_admin, scientific_researcher",Yes,3_5 years,3_5 years,<10 years,Senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",very_important,male,25_29 years,9M_12M,"Python, Java, Genexus","Django, Flask, Laravel",,"PostgreSQL, SQLite, IBM DB2",Microsoft Windows,Genexus,COBOL,Django,,"Microsoft Team, Jira, Slack, Trello, Confluence","Google Bard, Bing AI, ChatGPT",no,no,,,,
132,none,freelance,qa_testing,educator,No,<1 year,<1 year,<10 years,Trainee,Trainee,high_school,none,somewhat_important,male,15_19 years,<min_wage,"Python, C++, SQL",,,SQLite,Raspberry Pi,Python,SQL,,,,ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
133,remote,foreign_employer,backend_dev,,Yes,13_17 years,13_17 years,16_17 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,very_important,male,40_44 years,24M_27M,"JavaScript, PHP, SQL",Laravel,,MySQL,"GNU/Linux, Docker, AWS",JavaScript,VBA,Laravel,ASP.NET Core,"Jira, Notion, Slack, GitLab, Google Suite (Docs, Meet, etc)","Github Copilot, Notion AI, ChatGPT",no,no,,,,
134,onsite,Empleador local (Paraguay),proj_lead,educator,No,26+ years,18_25 years,30+ years,No aplica a mi lugar de trabajo,Senior,master,"programming, systems_analysis",critical,female,50_54 years,15M_18M,SQL,,,MySQL,Microsoft Windows,C,RPG,,,"Google Suite (Docs, Meet, etc), Trello",ChatGPT,no,no,,,,
135,onsite,Empleador local (Paraguay),full_stack_dev,,Yes,3_5 years,3_5 years,10_11 years,Mid-senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,quite_important,male,30_34 years,9M_12M,"JavaScript, C#","React.js, ASP.NET Core",,Oracle,Microsoft Windows,C#,,ASP.NET Core,,"Microsoft Team, Jira, Confluence",,no,no,,,,
136,remote,foreign_employer,full_stack_dev,sys_admin,Yes,26+ years,18_25 years,14_15 years,Senior,Senior,high_school,"computer_engineering, other",somewhat_important,male,40_44 years,27M_33M,"JavaScript, PHP, HTML/CSS, SQL","JQuery, Laravel, CakePHP",,"MySQL, MariaDB","GNU/Linux, MacOS, Docker, WordPress",Python,Fox Pro,Laravel,ASP.NET,"GitLab, Slack, Google Suite (Docs, Meet, etc)",ChatGPT,no,no,,,,
137,remote,freelance,full_stack_dev,"scientific_researcher, designer, educator",Yes,<1 year,<1 year,<10 years,Trainee,Trainee,master,"mathematics, none",somewhat_important,female,25_29 years,2.55M_3.5M,"JavaScript, PHP, HTML/CSS","React.js, Angular.js, Express, Django","Node.js, Flutter",MariaDB,Microsoft Windows,Python,C++,React.js,CakePHP,"Google Suite (Docs, Meet, etc), Slack, Trello, GitHub, Discord","ChatGPT, Github Copilot","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
138,Hibrído,Empleador local (Paraguay),frontend_dev,,Yes,<1 year,<1 year,<10 years,Junior,Junior,high_school,systems_analysis,quite_important,male,20_24 years,5M_7M,"TypeScript, HTML/CSS",React.js,Node.js,,Microsoft Windows,JavaScript,Ruby,,,"GitHub, Jira, Slack","ChatGPT, Github Copilot",no,no,,,,
139,remote,Empleador local (Paraguay),"frontend_dev, mobile_dev",,No,3_5 years,1_2 years,22_23 years,Mid-senior,Mid-senior,high_school,"programming, other",somewhat_important,male,20_24 years,9M_12M,"JavaScript, TypeScript",React.js,React Native,,MacOS,Python,PHP,React.js,JQuery,GitLab,ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
140,Hibrído,Empleador local (Paraguay),tech_lead ,,Yes,26+ years,26+ years,28_29 years,Senior,Senior,high_school,"programming, systems_analysis, computer_engineering",very_important,male,50_54 years,15M_18M,"JavaScript, TypeScript, PHP, Java, HTML/CSS, SQL, Bash/Shell/PowerShell, Fox Pro, COBOL","Angular.js, JQuery",,"MySQL, MariaDB, PostgreSQL","GNU/Linux, Microsoft Windows, Docker, Google Cloud Platform",Java,RPG,,Spring,"Slack, Google Suite (Docs, Meet, etc)",,no,no,,,,
141,remote,Empleador local (Paraguay),backend_dev,,Yes,6_9 years,6_9 years,16_17 years,Senior,Principal,high_school,computer_engineering,quite_important,male,30_34 years,9M_12M,"JavaScript, Python, Java, Bash/Shell/PowerShell",,Ansible,"PostgreSQL, SQLite","GNU/Linux, Microsoft Windows, Docker",Java,PHP,Django,CakePHP,"Confluence, GitLab, Microsoft Team",ChatGPT,no,no,,,,
142,Hibrído,Empleador local (Paraguay),solution_arch,devops_dataops,Yes,18_25 years,18_25 years,18_19 years,Senior,Principal,master,"programming, systems_analysis, computer_engineering",critical,male,35_39 years,18M_21M,"JavaScript, TypeScript, Java, C#, HTML/CSS, SQL","Angular, ASP.NET Core",".NET, NET Core","MySQL, PostgreSQL, Microsoft SQL Server, Oracle","Microsoft Windows, AWS, Azure, Microsoft Azure",C#,Python,ASP.NET Core,Django,"Confluence, Jira, Microsoft Team, GitLab, GitHub, Microsoft Azure","Bing AI, Github Copilot",no,no,,,,
143,Hibrído,local_with_foreign_clients,dev_ops,"sys_admin, devops_dataops, scientific_researcher",Yes,18_25 years,13_17 years,16_17 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, computer_engineering",very_important,male,35_39 years,27M_33M,"JavaScript, TypeScript, Python, C, C#, C++, Go, SQL, Assembly, R, Rust, Perl","React.js, Angular.js, JQuery, Django","Node.js, Pandas, TensorFlow, Puppet, Chef","MySQL, MariaDB, PostgreSQL, Microsoft SQL Server, MongoDB, Redis, Oracle, DynamoDB, Elasticsearch","GNU/Linux, Microsoft Windows, MacOS, Docker, AWS, Azure, Android, Microsoft Azure, Google Cloud Platform, iOS, Kubernetes",C++,PHP,Django,CodeIgniter,"Slack, Notion, GitHub, GitLab, Confluence, Google Suite (Docs, Meet, etc), Jira, Microsoft Team","Github Copilot, Notion AI, AWS CodeWhisperer",no,no,,,,
144,Hibrído,freelance,game_dev,,No,3_5 years,<1 year,16_17 years,No aplica a mi lugar de trabajo,Junior,high_school,"computer_engineering, mathematics",somewhat_important,male,15_19 years,<min_wage,"JavaScript, TypeScript",,Node.js,MongoDB,Microsoft Windows,JavaScript,Java,Express,,"GitHub, Google Suite (Docs, Meet, etc), Discord",,no,no,,,,
145,none,freelance,"backend_dev, frontend_dev, full_stack_dev, ux_ui",designer,No,1_2 years,3_5 years,<10 years,Junior,Mid-senior,high_school,systems_analysis,somewhat_important,male,20_24 years,2.55M_3.5M,"JavaScript, TypeScript, PHP, Python, HTML/CSS","React.js, Express",Node.js,"MySQL, MariaDB","GNU/Linux, Microsoft Windows",JavaScript,COBOL,React.js,Vue.js,"Slack, GitLab, GitHub, Confluence","ChatGPT, Github Copilot",no,no,,,,
146,remote,foreign_employer,"backend_dev, full_stack_dev, db_admin",,Yes,13_17 years,6_9 years,18_19 years,Mid-senior,Senior,master,"programming, systems_analysis, computer_engineering",somewhat_important,male,30_34 years,18M_21M,"JavaScript, Ruby, HTML/CSS, SQL","React.js, Ruby on Rails",,"PostgreSQL, Redis, Elasticsearch","GNU/Linux, MacOS, Docker, AWS",Ruby,PHP,Ruby on Rails,Angular,"Confluence, Jira, Trello, GitLab, GitHub, Notion, Slack",ChatGPT,no,no,,,,
147,remote,freelance,"backend_dev, mobile_dev","sys_admin, devops_dataops, educator",Yes,3_5 years,3_5 years,<10 years,Junior,Junior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,not_important,male,20_24 years,2.55M_3.5M,"JavaScript, Dart",Express,"Node.js, Flutter",MongoDB,"GNU/Linux, Docker, AWS, Android",JavaScript,Java,React.js,Laravel,"Discord, GitHub, Notion",ChatGPT,no,yes,no,,,lower
148,remote,Empleador local (Paraguay),full_stack_dev,,Yes,3_5 years,3_5 years,14_15 years,Staff,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,somewhat_important,male,25_29 years,5M_7M,"JavaScript, SQL",,,Oracle,Microsoft Windows,,,,,"Discord, GitHub",,no,no,,,,
149,remote,local_with_foreign_clients,"backend_dev, proj_lead",,Yes,3_5 years,3_5 years,12_13 years,No aplica a mi lugar de trabajo,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,very_important,male,30_34 years,9M_12M,"JavaScript, Python, SQL",Express,Node.js,"MySQL, PostgreSQL, MongoDB, DynamoDB","Microsoft Windows, Docker, AWS, Kubernetes",JavaScript,,Express,Spring,"Microsoft Team, GitLab, Jira, Slack, Notion","Github Copilot, ChatGPT",no,no,,,,
150,Hibrído,Empleador local (Paraguay),embedded_sys_dev,,Yes,10_12 years,10_12 years,12_13 years,Senior,Senior,high_school,computer_engineering,somewhat_important,male,30_34 years,12M_15M,"SQL, Oracle Forms",,,Oracle,Microsoft Windows,SQL,Java,,,"Confluence, Facebook Workplace, Jira, Google Suite (Docs, Meet, etc), Slack, GitLab",,no,no,,,,
151,remote,foreign_employer,"backend_dev, full_stack_dev, proj_lead",sys_admin,Yes,13_17 years,13_17 years,18_19 years,Senior,Senior,master,"programming, systems_analysis, computer_engineering",critical,male,35_39 years,40M_50M,"JavaScript, Java, Scala","React.js, Spring",,PostgreSQL,"MacOS, Docker, AWS, Android, Kubernetes",Java,PHP,Spring,Ruby on Rails,"Discord, GitLab, Google Suite (Docs, Meet, etc), Slack, Confluence, Jira",ChatGPT,no,yes,yes,<3_months,yes,lower
152,none,Empleador local (Paraguay),"full_stack_dev, mobile_dev, db_admin",sys_admin,No,<1 year,<1 year,<10 years,No aplica a mi lugar de trabajo,Senior,high_school,computer_engineering,quite_important,male,15_19 years,<min_wage,"JavaScript, PHP, Python, C#, C++, HTML/CSS, SQL","React.js, ASP.NET, Django, Laravel",".NET, Flutter","MySQL, MariaDB","GNU/Linux, Microsoft Windows, Android",Python,Assembly,Django,Ruby on Rails,"Discord, GitHub",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",yes,no,<3_months,no,lower
